Season,Date,Team1,Team2,Home,Team1Pts,Team2Pts,Team1PtDiff,Team2PtDiff,Team1TM,Team2TM,Team1Rating,Team2Rating,Team1Y/P,Team2Y/P,Team1DY/P,Team2DY/P,Team1ToP,Team2ToP,Team1Sks,Team2Sks,Team1SkYds,Team2SkYds,Team1RushAtt,Team2RushAtt,Team1RushYds,Team2RushYds,Team1PYM,Team2PYM,Team1RYM,Team2RYM,Team1YM,Team2YM,Team1Won
2024,2024-12-01,NOR,LAR,0,14,21.0,-7,7.0,0,0.0,85.9,110.2,4.81,5.85,5.85,4.81,1957,1643.0,0,2.0,0,17.0,31,29.0,143,156.0,18,-18.0,-13,13.0,-17,17.0,0
2024,2024-11-29,KAN,LVR,0,19,17.0,2,-2.0,1,-1.0,84.1,116.4,4.91,6.89,6.89,4.91,1728,1872.0,5,3.0,40,22.0,16,25.0,63,116.0,-52,52.0,-53,53.0,18,-18.0,1
2024,2024-11-29,LVR,KAN,1,17,19.0,-2,2.0,-1,1.0,116.4,84.1,6.89,4.91,4.91,6.89,1872,1728.0,3,5.0,22,40.0,25,16.0,116,63.0,52,-52.0,53,-53.0,-18,18.0,0
2024,2024-11-28,NYG,DAL,1,20,27.0,-7,7.0,-2,2.0,66.9,82.5,4.19,4.66,4.66,4.19,1704,1896.0,6,0.0,47,0.0,21,32.0,116,122.0,-64,64.0,-6,6.0,47,-47.0,0
2024,2024-11-28,DAL,NYG,0,27,20.0,7,-7.0,2,-2.0,82.5,66.9,4.66,4.19,4.19,4.66,1896,1704.0,0,6.0,0,47.0,32,21.0,122,116.0,64,-64.0,6,-6.0,-47,47.0,1
2024,2024-11-28,DET,CHI,0,23,20.0,3,-3.0,-1,1.0,100.2,97.8,5.87,5.1,5.1,5.87,2114,1486.0,2,5.0,10,33.0,33,15.0,194,78.0,-12,12.0,116,-116.0,-23,23.0,1
2024,2024-11-28,MIA,GNB,1,17,30.0,-13,13.0,-1,1.0,114.2,129.2,5.77,7.32,7.32,5.77,1984,1616.0,5,0.0,29,0.0,14,25.0,39,114.0,62,-62.0,-75,75.0,29,-29.0,0
2024,2024-11-28,CHI,DET,1,20,23.0,-3,3.0,1,-1.0,97.8,100.2,5.1,5.87,5.87,5.1,1486,2114.0,5,2.0,33,10.0,15,33.0,78,194.0,12,-12.0,-116,116.0,23,-23.0,0
2024,2024-11-28,GNB,MIA,0,30,17.0,13,-13.0,1,-1.0,129.2,114.2,7.32,5.77,5.77,7.32,1616,1984.0,0,5.0,0,29.0,25,14.0,114,39.0,-62,62.0,75,-75.0,-29,29.0,1
2024,2024-11-25,BAL,LAC,1,30,23.0,7,-7.0,0,0.0,126.5,75.9,6.48,4.75,4.75,6.48,1857,1743.0,1,4.0,0,16.0,37,20.0,212,83.0,-25,25.0,129,-129.0,-16,16.0,1
2024,2024-11-25,LAC,BAL,0,23,30.0,-7,7.0,0,0.0,75.9,126.5,4.75,6.48,6.48,4.75,1743,1857.0,4,1.0,16,0.0,20,37.0,83,212.0,25,-25.0,-129,129.0,16,-16.0,0
2024,2024-11-24,WAS,DAL,0,26,34.0,-8,8.0,-2,2.0,82.7,117.6,6.15,5.44,5.44,6.15,1488,2112.0,4,1.0,8,6.0,25,28.0,145,91.0,26,-26.0,54,-54.0,2,-2.0,0
2024,2024-11-24,DET,IND,1,24,6.0,18,-18.0,0,0.0,93.4,60.4,5.42,5.47,5.47,5.42,2221,1379.0,3,0.0,16,0.0,33,21.0,137,96.0,81,-81.0,41,-41.0,16,-16.0,1
2024,2024-11-24,KAN,CAR,1,30,27.0,3,-3.0,0,0.0,120.2,92.9,5.75,5.76,5.76,5.75,1936,1664.0,5,2.0,43,14.0,26,21.0,165,85.0,-23,23.0,80,-80.0,29,-29.0,1
2024,2024-11-24,DEN,LVR,1,29,19.0,10,-10.0,2,-2.0,94.6,75.0,5.0,4.99,4.99,5.0,1871,1729.0,1,5.0,11,28.0,22,16.0,63,69.0,-38,38.0,-6,6.0,-17,17.0,1
2024,2024-11-24,SEA,ARI,0,16,6.0,10,-10.0,0,0.0,92.7,77.0,4.67,5.32,5.32,4.67,1993,1607.0,5,5.0,34,36.0,25,14.0,65,49.0,-29,29.0,16,-16.0,-2,2.0,1
2024,2024-11-24,LVR,DEN,0,19,29.0,-10,10.0,-2,2.0,75.0,94.6,4.99,5.0,5.0,4.99,1729,1871.0,5,1.0,28,11.0,16,22.0,69,63.0,38,-38.0,6,-6.0,17,-17.0,0
2024,2024-11-24,TAM,NYG,1,30,7.0,23,-23.0,0,0.0,107.5,84.4,7.27,4.38,4.38,7.27,2039,1561.0,0,4.0,0,23.0,32,20.0,157,76.0,125,-125.0,81,-81.0,-23,23.0,1
2024,2024-11-24,NYG,TAM,0,7,30.0,-23,23.0,0,0.0,84.4,107.5,4.38,7.27,7.27,4.38,1561,2039.0,4,0.0,23,0.0,20,32.0,76,157.0,-125,125.0,-81,81.0,23,-23.0,0
2024,2024-11-24,MIA,NWE,0,34,15.0,19,-19.0,1,-1.0,128.9,72.5,5.65,4.27,4.27,5.65,1924,1676.0,2,4.0,9,39.0,24,21.0,65,86.0,125,-125.0,-21,21.0,-30,30.0,1
2024,2024-11-24,IND,DET,0,6,24.0,-18,18.0,0,0.0,60.4,93.4,5.47,5.42,5.42,5.47,1379,2221.0,0,3.0,0,16.0,21,33.0,96,137.0,-81,81.0,-41,41.0,-16,16.0,0
2024,2024-11-24,CAR,KAN,0,27,30.0,-3,3.0,0,0.0,92.9,120.2,5.76,5.75,5.75,5.76,1664,1936.0,2,5.0,14,43.0,21,26.0,85,165.0,23,-23.0,-80,80.0,-29,29.0,0
2024,2024-11-24,ARI,SEA,1,6,16.0,-10,10.0,0,0.0,77.0,92.7,5.32,4.67,4.67,5.32,1607,1993.0,5,5.0,36,34.0,14,25.0,49,65.0,29,-29.0,-16,16.0,2,-2.0,0
2024,2024-11-24,DAL,WAS,1,34,26.0,8,-8.0,2,-2.0,117.6,82.7,5.44,6.15,6.15,5.44,2112,1488.0,1,4.0,6,8.0,28,25.0,91,145.0,-26,26.0,-54,54.0,-2,2.0,1
2024,2024-11-24,MIN,CHI,1,30,27.0,3,-3.0,0,0.0,116.8,101.0,6.95,5.45,5.45,6.95,2006,2064.0,3,3.0,16,20.0,27,22.0,124,78.0,8,-8.0,46,-46.0,-4,4.0,1
2024,2024-11-24,SFO,GNB,1,10,38.0,-28,28.0,-3,3.0,76.7,107.7,5.13,4.85,4.85,5.13,1397,2203.0,2,2.0,2,7.0,16,42.0,44,169.0,41,-41.0,-125,125.0,-5,5.0,0
2024,2024-11-24,GNB,SFO,0,38,10.0,28,-28.0,3,-3.0,107.7,76.7,4.85,5.13,5.13,4.85,2203,1397.0,2,2.0,7,2.0,42,16.0,169,44.0,-41,41.0,125,-125.0,5,-5.0,1
2024,2024-11-24,CHI,MIN,0,27,30.0,-3,3.0,0,0.0,101.0,116.8,5.45,6.95,6.95,5.45,2064,2006.0,3,3.0,20,16.0,22,27.0,78,124.0,-8,8.0,-46,46.0,4,-4.0,0
2024,2024-11-24,HOU,TEN,0,27,32.0,-5,5.0,1,-1.0,78.7,118.4,4.81,5.59,5.59,4.81,1531,2069.0,4,8.0,27,41.0,17,33.0,40,132.0,-17,17.0,-92,92.0,-14,14.0,0
2024,2024-11-24,LAR,PHI,0,20,37.0,-17,17.0,-1,1.0,104.3,108.0,4.92,7.07,7.07,4.92,1579,2021.0,5,1.0,45,12.0,18,45.0,92,314.0,31,-31.0,-222,222.0,33,-33.0,0
2024,2024-11-24,PHI,LAR,1,37,20.0,17,-17.0,1,-1.0,108.0,104.3,7.07,4.92,4.92,7.07,2021,1579.0,1,5.0,12,45.0,45,18.0,314,92.0,-31,31.0,222,-222.0,-33,33.0,1
2024,2024-11-24,NWE,MIA,1,15,34.0,-19,19.0,-1,1.0,72.5,128.9,4.27,5.65,5.65,4.27,1676,1924.0,4,2.0,39,9.0,21,24.0,86,65.0,-125,125.0,21,-21.0,30,-30.0,0
2024,2024-11-24,TEN,HOU,1,32,27.0,5,-5.0,-1,1.0,118.4,78.7,5.59,4.81,4.81,5.59,2069,1531.0,8,4.0,41,27.0,33,17.0,132,40.0,17,-17.0,92,-92.0,14,-14.0,1
2024,2024-11-21,CLE,PIT,0,24,19.0,5,-5.0,-2,2.0,76.0,112.7,5.53,5.49,5.49,5.53,1498,2102.0,1,4.0,0,22.0,27,34.0,85,120.0,-29,29.0,-35,35.0,-22,22.0,1
2024,2024-11-21,PIT,CLE,1,19,24.0,-5,5.0,2,-2.0,112.7,76.0,5.49,5.53,5.53,5.49,2102,1498.0,4,1.0,22,0.0,34,27.0,120,85.0,29,-29.0,35,-35.0,22,-22.0,0
2024,2024-11-18,DAL,HOU,0,10,34.0,-24,24.0,-1,1.0,76.3,77.7,4.91,6.52,6.52,4.91,1763,1837.0,5,1.0,34,7.0,18,25.0,64,141.0,74,-74.0,-77,77.0,27,-27.0,0
2024,2024-11-18,HOU,DAL,1,34,10.0,24,-24.0,1,-1.0,77.7,76.3,6.52,4.91,4.91,6.52,1837,1763.0,1,5.0,7,34.0,25,18.0,141,64.0,-74,74.0,77,-77.0,-27,27.0,1
2024,2024-11-17,PIT,BAL,0,18,16.0,2,-2.0,2,-2.0,67.5,66.1,4.09,6.09,6.09,4.09,2182,1418.0,4,2.0,24,2.0,34,19.0,122,124.0,-24,24.0,-2,2.0,22,-22.0,1
2024,2024-11-17,BAL,PIT,1,16,18.0,-2,2.0,-2,2.0,66.1,67.5,6.09,4.09,4.09,6.09,1418,2182.0,2,4.0,2,24.0,19,34.0,124,122.0,24,-24.0,2,-2.0,-22,22.0,0
2024,2024-11-17,NOR,CLE,0,35,14.0,21,-21.0,-2,2.0,112.1,104.5,8.16,6.33,6.33,8.16,1838,1762.0,1,3.0,7,18.0,28,20.0,214,66.0,-118,118.0,148,-148.0,-11,11.0,1
