,ID,Team1Won,Season,Date,Team1,Team2,Home,Team1Pts,Team2Pts,Team1PtDiff,Team2PtDiff,Team1TM,Team2TM,Team1Rating,Team2Rating,Team1Sks,Team2Sks,Team1SkYds,Team2SkYds,Team1RushAtt,Team2RushAtt,Team1RushYds,Team2RushYds,Team1RYM,Team2RYM,Team1PYM,Team2PYM,Team1YM,Team2YM
37,1391,False,2022,2022-09-25,ARI,LAR,1,12,20,-8,8,1,-1,77.8,101.9,2,1,19,10,21,20,70,100,-30,30,56,-56,26,-26
38,1393,True,2022,2022-09-25,DEN,SFO,1,11,10,1,-1,3,-3,75.8,76.7,4,4,24,32,33,19,101,88,13,-13,-19,19,-6,6
39,1395,False,2022,2022-09-25,BUF,MIA,0,19,21,-2,2,-1,1,94.7,108.5,4,2,18,15,23,17,115,41,74,-74,211,-211,285,-285
40,1389,True,2022,2022-09-25,IND,KAN,1,20,17,3,-3,1,-1,105.9,75.8,5,1,45,5,27,23,82,58,24,-24,-80,80,-56,56
41,1399,False,2022,2022-09-25,NWE,BAL,1,26,37,-11,11,-2,2,62.1,108.6,3,4,19,12,28,26,145,188,-43,43,96,-96,53,-53
42,1401,True,2022,2022-09-25,CIN,NYJ,0,27,12,15,-15,3,-3,114.9,51.1,2,4,14,33,28,20,69,76,-7,7,9,-9,2,-2
43,1403,True,2022,2022-09-25,TEN,LVR,1,24,22,2,-2,0,0,98.4,85.4,1,1,12,7,27,19,109,96,13,-13,-48,48,-35,35
44,1405,True,2022,2022-09-25,JAX,LAC,0,38,10,28,-28,2,-2,115.5,73.0,0,1,0,11,36,12,151,26,125,-125,-24,24,101,-101
45,1407,True,2022,2022-09-25,ATL,SEA,0,27,23,4,-4,-1,1,99.8,97.5,3,2,22,17,31,23,179,112,67,-67,-101,101,-34,34
46,1397,False,2022,2022-09-25,DET,MIN,0,24,28,-4,4,0,0,79.0,92.5,0,1,0,10,35,25,139,123,16,-16,27,-27,43,-43
47,1383,True,2022,2022-09-26,DAL,NYG,0,23,16,7,-7,1,-1,98.2,54.9,0,5,0,27,30,25,176,167,9,-9,46,-46,55,-55
48,1381,True,2022,2022-09-29,CIN,MIA,1,27,15,12,-12,2,-2,118.0,71.1,1,1,6,10,30,22,67,85,-18,18,11,-11,-7,7
49,1361,False,2022,2022-10-02,DET,SEA,1,45,48,-3,3,-1,1,121.2,132.6,1,0,9,0,25,33,145,235,-90,90,55,-55,-35,35
50,1353,True,2022,2022-10-02,ATL,CLE,1,23,20,3,-3,1,-1,41.3,67.1,1,1,8,8,35,35,202,177,25,-25,-95,95,-70,70
51,1355,False,2022,2022-10-02,CAR,ARI,1,16,26,-10,10,-2,2,61.9,96.6,2,1,17,1,13,37,40,132,-92,92,-26,26,-118,118
52,1357,False,2022,2022-10-02,IND,TEN,1,17,24,-7,7,-3,3,109.7,121.4,3,3,29,21,23,28,38,127,-89,89,211,-211,122,-122
53,1359,True,2022,2022-10-02,DAL,WAS,1,25,10,15,-15,2,-2,107.5,55.2,1,2,6,15,29,27,62,142,-80,80,62,-62,-18,18
54,1363,True,2022,2022-10-02,GNB,NWE,1,27,24,3,-3,-1,1,89.1,98.1,1,4,7,32,35,33,199,167,32,-32,140,-140,172,-172
55,1369,False,2022,2022-10-02,CHI,NYG,0,12,20,-8,8,-1,1,76.7,41.4,6,1,19,11,32,44,149,262,-113,113,84,-84,-29,29
56,1367,True,2022,2022-10-02,MIN,NOR,0,28,25,3,-3,1,-1,86.1,107.3,3,2,23,9,25,27,81,111,-30,30,36,-36,6,-6
57,1379,True,2022,2022-10-02,KAN,TAM,0,41,31,10,-10,1,-1,97.7,113.7,3,1,21,12,37,6,189,3,186,-186,-145,145,41,-41
58,1371,False,2022,2022-10-02,JAX,PHI,0,21,29,-8,8,-4,4,84.3,70.6,4,2,26,13,19,50,71,210,-139,139,-43,43,-182,182
59,1373,True,2022,2022-10-02,NYJ,PIT,0,24,20,4,-4,2,-2,69.0,45.5,1,3,4,26,29,31,98,119,-21,21,72,-72,51,-51
60,1375,False,2022,2022-10-02,DEN,LVR,0,23,32,-9,9,-1,1,124.9,74.8,3,2,23,15,20,38,85,212,-127,127,41,-41,-86,86
61,1377,True,2022,2022-10-02,BUF,BAL,0,23,20,3,-3,0,0,68.4,61.6,1,2,12,10,25,33,125,162,-37,37,67,-67,30,-30
62,1365,False,2022,2022-10-02,HOU,LAC,1,24,34,-10,10,-1,1,88.5,113.0,4,1,31,2,14,27,131,81,50,-50,-123,123,-73,73
63,1351,False,2022,2022-10-03,LAR,SFO,0,9,24,-15,15,-2,2,71.0,100.7,7,0,54,0,18,22,57,88,-31,31,-39,39,-70,70
64,1349,True,2022,2022-10-06,IND,DEN,0,12,9,3,-3,0,0,60.1,52.3,6,4,51,24,26,28,106,125,-19,19,-50,50,-69,69
65,1323,False,2022,2022-10-09,CAR,SFO,1,15,37,-22,22,0,0,69.0,108.2,6,2,31,9,17,29,64,153,-89,89,0,0,-89,89
66,1325,False,2022,2022-10-09,CLE,LAC,1,28,30,-2,2,-1,1,79.3,93.6,0,1,0,1,31,34,213,238,-25,25,3,-3,-22,22
67,1327,False,2022,2022-10-09,ARI,PHI,1,17,20,-3,3,-1,1,80.5,87.5,1,2,11,21,26,33,124,139,-15,15,21,-21,6,-6
68,1329,False,2022,2022-10-09,GNB,NYG,1,22,27,-5,5,0,0,96.3,99.5,2,1,15,4,20,31,94,125,-31,31,-6,6,-37,37
69,1331,True,2022,2022-10-09,HOU,JAX,0,13,6,7,-7,2,-2,81.9,54.0,1,0,8,0,31,26,116,136,-20,20,-154,154,-174,174
70,1333,False,2022,2022-10-09,CHI,MIN,0,22,29,-7,7,0,0,118.7,95.6,2,1,15,7,24,31,78,117,-39,39,-119,119,-158,158
71,1321,True,2022,2022-10-09,BUF,PIT,1,38,3,35,-35,0,0,128.5,73.4,0,3,0,17,18,17,120,54,66,-66,122,-122,188,-188
72,1337,False,2022,2022-10-09,DET,NWE,0,0,29,-29,29,-1,1,62.7,100.0,2,0,18,0,27,35,101,176,-75,75,23,-23,-52,52
73,1339,False,2022,2022-10-09,MIA,NYJ,0,17,40,-23,23,-2,2,56.7,94.7,2,2,8,23,26,33,137,135,2,-2,-29,29,-27,27
74,1341,True,2022,2022-10-09,DAL,LAR,0,22,10,12,-12,3,-3,80.7,82.1,3,5,26,35,34,15,163,38,125,-125,-209,209,-84,84
75,1343,False,2022,2022-10-09,CIN,BAL,0,17,19,-2,2,0,0,82.7,71.1,3,1,27,4,21,28,101,155,-54,54,20,-20,-34,34
76,1345,False,2022,2022-10-09,ATL,TAM,0,15,21,-6,6,0,0,86.6,92.7,5,0,37,0,31,23,151,69,82,-82,-241,241,-159,159
77,1347,True,2022,2022-10-09,TEN,WAS,0,21,17,4,-4,1,-1,95.6,101.0,5,3,45,17,32,17,105,43,62,-62,-206,206,-144,144
78,1335,True,2022,2022-10-09,NOR,SEA,1,39,32,7,-7,-1,1,103.6,135.8,1,3,6,23,48,21,235,151,84,-84,-42,42,42,-42
79,1319,True,2022,2022-10-10,KAN,LVR,1,30,29,1,-1,0,0,117.6,108.1,3,2,27,18,23,24,103,155,-52,52,42,-42,-10,10
80,1317,False,2022,2022-10-13,CHI,WAS,1,7,12,-5,5,-2,2,71.5,63.8,5,3,36,13,37,28,237,128,109,-109,68,-68,177,-177
81,1293,True,2022,2022-10-16,ATL,SFO,1,28,14,14,-14,3,-3,144.6,87.0,2,0,8,0,40,16,168,50,118,-118,-175,175,-57,57
82,1295,False,2022,2022-10-16,CLE,NWE,1,15,38,-23,23,-3,3,54.5,117.4,4,2,8,8,18,29,70,98,-28,28,-43,43,-71,71
83,1297,True,2022,2022-10-16,IND,JAX,1,34,27,7,-7,1,-1,107.6,107.6,0,4,0,29,16,33,45,243,-198,198,253,-253,55,-55
84,1299,False,2022,2022-10-16,GNB,NYJ,1,10,27,-17,17,-1,1,84.9,71.3,4,2,36,11,20,33,60,179,-119,119,119,-119,0,0
85,1301,True,2022,2022-10-16,BUF,KAN,0,24,20,4,-4,1,-1,117.6,83.2,1,3,11,19,31,18,125,68,57,-57,-1,1,56,-56
86,1305,True,2022,2022-10-16,CIN,NOR,0,30,26,4,-4,-1,1,126.0,75.1,3,1,27,7,14,34,75,228,-153,153,102,-102,-51,51
87,1307,True,2022,2022-10-16,NYG,BAL,1,24,20,4,-4,1,-1,112.1,69.1,4,2,18,15,31,24,83,211,-128,128,-40,40,-168,168
88,1309,False,2022,2022-10-16,DAL,PHI,0,17,26,-9,9,-3,3,37.3,100.7,0,4,0,23,26,39,134,136,-2,2,49,-49,47,-47
89,1311,True,2022,2022-10-16,PIT,TAM,1,20,18,2,-2,0,0,109.2,86.4,2,2,18,14,29,26,77,75,2,-2,-36,36,-34,34
90,1313,False,2022,2022-10-16,CAR,LAR,0,10,24,-14,14,0,0,57.4,95.6,2,1,9,4,21,29,93,111,-18,18,-139,139,-157,157
