Rk,Team,Date,Season,Pts,PtsO,Rate,TO,Y/P,DY/P,ToP,Rate,Att,Att,Day,G#,Week,Away,Opp,Result,Pts,PtsO,PtDif,PC,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Rush_Att,Rush_Yds,Rush_Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Opp_Rush_Att,Opp_Rush_Yds,Y/A,TD,Rush,Pass,Tot,TO
321,SEA,2024-09-22,2024,24,3,86.5,-2,6.17,3.66,31:28,72.4,23,18,Sun,3,3,,MIA,W 24-3,24,3,21,27,26,34,8,76.5,270,1,2,2.9,5.9,86.5,3,19,8.11,7.9,7.30,5.88,5.41,10.4,23,100,4.3,2,370,60,6.17,56,3.66,2,31:28,3:07,20,32,62.5,140,0,6,46,0,72.4,18,65,3.6,0,35,130,165,-2
322,DEN,2024-09-22,2024,26,7,85.0,1,5.50,3.98,32:08,79.4,28,16,Sun,3,3,@,TAM,W 26-7,26,7,19,33,25,36,11,69.4,216,0,0,0.0,0.0,85.0,0,0,0.00,6.0,6.00,6.00,6.00,8.6,28,136,4.9,2,352,64,5.50,56,3.98,1,32:08,2:46,25,33,75.8,132,1,7,31,1,79.4,16,91,5.7,0,45,84,129,1
323,TAM,2024-09-22,2024,7,26,83.3,-1,3.98,5.50,27:52,85.0,16,28,Sun,3,3,,DEN,L 7-26,7,26,-19,33,25,33,8,75.8,132,1,1,3.0,3.0,83.3,7,31,17.50,4.0,3.30,3.24,2.68,5.3,16,91,5.7,0,223,56,3.98,64,5.50,2,27:52,2:46,25,36,69.4,216,0,0,0,0,85.0,28,136,4.9,2,-45,-84,-129,-1
324,ATL,2024-09-22,2024,17,22,89.7,0,5.55,4.79,25:03,87.2,25,33,Sun,3,3,,KAN,L 17-22,17,22,-5,39,20,29,9,69.0,229,1,1,3.4,3.4,89.7,2,1,6.45,7.9,7.39,7.03,6.58,11.5,25,82,3.3,1,311,56,5.55,72,4.79,1,25:03,2:58,26,39,66.7,217,2,0,0,1,87.2,33,128,3.9,0,-46,12,-34,0
325,KAN,2024-09-22,2024,22,17,87.2,0,4.79,5.55,34:57,89.6,33,25,Sun,3,3,@,ATL,W 22-17,22,17,5,39,26,39,13,66.7,217,2,1,5.1,2.6,87.2,0,0,0.00,5.6,5.56,5.44,5.44,8.3,33,128,3.9,0,345,72,4.79,56,5.55,1,34:57,2:58,20,29,69.0,229,1,2,1,1,89.6,25,82,3.3,1,46,-12,34,0
326,CLE,2024-09-22,2024,15,21,89.5,0,3.44,4.93,26:04,105.4,18,32,Sun,3,3,,NYG,L 15-21,15,21,-6,36,21,37,16,56.8,148,2,0,5.4,0.0,89.5,8,48,17.78,4.0,3.29,5.08,4.18,7.0,18,69,3.8,0,217,63,3.44,69,4.93,2,26:04,3:06,24,35,68.6,228,2,2,8,0,105.4,32,112,3.5,1,-43,-80,-123,0
327,NWE,2024-09-19,2024,3,24,72.6,-1,2.90,5.71,19:56,117.2,15,33,Thu,3,3,@,NYJ,L 3-24,3,24,-21,27,16,26,10,61.5,61,0,0,0.0,0.0,72.6,7,59,21.21,2.3,1.85,2.35,1.85,3.8,15,78,5.2,0,139,48,2.90,70,5.71,1,19:56,2:57,27,35,77.1,267,2,2,14,0,117.2,33,133,4.0,1,-55,-206,-261,-1
328,NYJ,2024-09-19,2024,24,3,118.9,1,5.71,2.90,40:04,65.9,33,15,Thu,3,3,,NWE,W 24-3,24,3,21,27,27,35,8,77.1,267,2,0,5.7,0.0,118.9,2,14,5.41,7.6,7.22,8.77,8.30,9.9,33,133,4.0,1,400,70,5.71,48,2.90,0,40:04,2:57,16,26,61.5,61,0,7,59,0,65.9,15,78,5.2,0,55,206,261,1
329,ATL,2024-09-16,2024,22,21,117.2,1,6.64,5.37,24:21,88.1,28,37,Mon,2,2,@,PHI,W 22-21,22,21,1,43,20,29,9,69.0,233,2,0,6.9,0.0,117.2,1,8,3.33,8.0,7.77,9.41,9.10,11.7,28,152,5.4,0,385,58,6.64,68,5.37,0,24:21,2:57,23,30,76.7,179,1,1,4,1,88.1,37,186,5.0,1,-34,54,20,1
330,PHI,2024-09-16,2024,21,22,88.6,-1,5.37,6.64,35:39,116.0,37,28,Mon,2,2,,ATL,L 21-22,21,22,-1,43,23,30,7,76.7,179,1,1,3.3,3.3,88.6,1,4,3.23,6.0,5.77,5.13,4.97,7.8,37,186,5.0,1,365,68,5.37,58,6.64,1,35:39,2:57,20,29,69.0,233,2,1,8,0,116.0,28,152,5.4,0,34,-54,-20,-1
331,CAR,2024-09-15,2024,3,26,57.2,1,3.46,5.37,23:42,100.0,18,44,Sun,2,2,,LAC,L 3-26,3,26,-23,29,18,26,8,69.2,69,0,1,0.0,3.8,57.2,2,15,7.14,2.7,2.46,0.92,0.86,3.8,18,90,5.0,0,159,46,3.46,65,5.37,1,23:42,2:43,14,20,70.0,130,2,1,0,1,100.0,44,219,5.0,1,-129,-61,-190,1
332,LAC,2024-09-15,2024,26,3,100.0,-1,5.37,3.46,36:18,56.3,44,18,Sun,2,2,@,CAR,W 26-3,26,3,23,29,14,20,6,70.0,130,2,1,10.0,5.0,100.0,1,0,4.76,6.5,6.19,6.25,5.95,9.3,44,219,5.0,1,349,65,5.37,46,3.46,2,36:18,2:43,18,26,69.2,69,0,2,15,1,56.3,18,90,5.0,0,129,61,190,-1
333,ARI,2024-09-15,2024,41,10,158.3,0,7.89,4.71,36:54,90.4,40,20,Sun,2,2,,LAR,W 41-10,41,10,31,51,17,21,4,81.0,258,3,0,14.3,0.0,158.3,1,8,4.55,12.3,11.73,15.14,14.45,15.2,40,231,5.8,1,489,62,7.89,52,4.71,1,36:54,2:39,19,27,70.4,192,0,5,24,0,90.4,20,53,2.7,1,178,66,244,0
334,LAR,2024-09-15,2024,10,41,94.1,0,4.71,7.89,23:06,157.4,20,40,Sun,2,2,@,ARI,L 10-41,10,41,-31,51,19,27,8,70.4,192,0,0,0.0,0.0,94.1,5,24,15.63,7.1,6.00,7.11,6.00,10.1,20,53,2.7,1,245,52,4.71,62,7.89,1,23:06,2:39,17,21,81.0,258,3,1,8,0,157.4,40,231,5.8,1,-178,-66,-244,0
335,DAL,2024-09-15,2024,19,44,75.4,-1,5.35,7.71,29:29,125.0,21,39,Sun,2,2,,NOR,L 19-44,19,44,-25,63,28,42,14,66.7,285,1,2,2.4,4.8,75.4,3,14,6.67,6.8,6.33,5.12,4.78,10.2,21,68,3.2,0,353,66,5.35,56,7.71,2,29:29,2:54,11,16,68.8,242,2,1,1,1,125.0,39,190,4.9,4,-122,43,-79,-1
336,NOR,2024-09-15,2024,44,19,125.0,1,7.71,5.35,30:31,74.0,39,21,Sun,2,2,@,DAL,W 44-19,44,19,25,63,11,16,5,68.8,242,2,1,12.5,6.3,125.0,1,1,5.88,15.1,14.24,14.81,13.94,22.0,39,190,4.9,4,432,56,7.71,66,5.35,1,30:31,2:54,28,42,66.7,285,1,3,14,2,74.0,21,68,3.2,0,122,-43,79,1
337,DEN,2024-09-15,2024,6,13,55.2,-2,5.27,4.33,27:41,95.8,19,36,Sun,2,2,,PIT,L 6-13,6,13,-7,19,20,35,15,57.1,231,0,2,0.0,5.7,55.2,2,15,5.41,6.6,6.24,4.03,3.81,11.6,19,64,3.4,0,295,56,5.27,58,4.33,2,27:41,2:57,13,20,65.0,110,1,2,7,0,95.8,36,141,3.9,0,-77,121,44,-2
338,PIT,2024-09-15,2024,13,6,97.3,2,4.33,5.27,32:19,53.4,36,19,Sun,2,2,@,DEN,W 13-6,13,6,7,19,13,20,7,65.0,110,1,0,5.0,0.0,97.3,2,7,9.09,5.5,5.00,6.50,5.91,8.5,36,141,3.9,0,251,58,4.33,56,5.27,0,32:19,2:57,20,35,57.1,231,0,2,15,2,53.4,19,64,3.4,0,77,-121,-44,2
339,DET,2024-09-15,2024,16,20,63.4,-1,5.58,4.60,33:53,82.3,27,23,Sun,2,2,,TAM,L 16-20,16,20,-4,36,35,56,21,62.5,324,0,2,0.0,3.6,63.4,0,0,0.00,5.8,5.79,4.18,4.18,9.3,27,139,5.1,1,463,83,5.58,47,4.60,2,33:53,3:01,12,19,63.2,146,1,5,39,1,82.3,23,70,3.0,1,69,178,247,-1
340,TAM,2024-09-15,2024,20,16,90.9,1,4.60,5.58,26:07,63.4,23,27,Sun,2,2,@,DET,W 20-16,20,16,4,36,12,19,7,63.2,146,1,1,5.3,5.3,90.9,5,39,20.83,7.7,6.08,6.37,5.04,12.2,23,70,3.0,1,216,47,4.60,83,5.58,1,26:07,3:01,35,56,62.5,324,0,0,0,2,63.4,27,139,5.1,1,-69,-178,-247,1
341,IND,2024-09-15,2024,10,16,41.8,-2,6.38,5.72,19:49,126.8,18,53,Sun,2,2,@,GNB,L 10-16,10,16,-6,26,17,34,17,50.0,198,1,3,2.9,8.8,41.8,1,6,2.86,5.8,5.66,2.44,2.37,11.6,18,140,7.8,0,338,53,6.38,67,5.72,3,19:49,2:49,12,14,85.7,122,1,0,0,0,126.8,53,261,4.9,0,-121,76,-45,-2
342,GNB,2024-09-15,2024,16,10,126.8,2,5.72,6.38,40:11,41.1,53,18,Sun,2,2,,IND,W 16-10,16,10,6,26,12,14,2,85.7,122,1,0,7.1,0.0,126.8,0,0,0.00,8.7,8.71,10.14,10.14,10.2,53,261,4.9,0,383,67,5.72,53,6.38,1,40:11,2:49,17,34,50.0,198,1,1,6,3,41.1,18,140,7.8,0,121,-76,45,2
343,CHI,2024-09-15,2024,13,19,51.0,-1,3.11,5.08,31:13,91.8,22,22,Sun,2,2,@,HOU,L 13-19,13,19,-6,32,23,37,14,62.2,134,0,2,0.0,5.4,51.0,7,40,15.91,3.6,3.05,1.19,1.00,5.8,22,71,3.2,1,205,66,3.11,61,5.08,2,31:13,3:24,23,36,63.9,235,1,3,25,0,91.8,22,75,3.4,0,-4,-101,-105,-1
344,HOU,2024-09-15,2024,19,13,94.7,1,5.08,3.11,28:47,46.5,22,22,Sun,2,2,,CHI,W 19-13,19,13,6,32,23,36,13,63.9,235,1,0,2.8,0.0,94.7,3,25,7.69,6.5,6.03,7.08,6.54,10.2,22,75,3.4,0,310,61,5.08,66,3.11,1,28:47,3:24,23,37,62.2,134,0,7,40,2,46.5,22,71,3.2,1,4,101,105,1
345,CLE,2024-09-15,2024,18,13,78.8,0,4.57,5.87,34:23,68.2,29,21,Sun,2,2,@,JAX,W 18-13,18,13,5,31,22,34,12,64.7,172,0,0,0.0,0.0,78.8,2,14,5.56,5.1,4.78,5.06,4.78,7.8,29,125,4.3,1,297,65,4.57,55,5.87,0,34:23,3:13,14,30,46.7,196,0,4,24,0,68.2,21,127,6.0,1,-2,-24,-26,0
346,JAX,2024-09-15,2024,13,18,71.5,0,5.87,4.57,25:37,77.1,21,29,Sun,2,2,,CLE,L 13-18,13,18,-5,31,14,30,16,46.7,196,0,0,0.0,0.0,71.5,4,24,11.76,6.5,5.76,6.53,5.76,14.0,21,127,6.0,1,323,55,5.87,65,4.57,0,25:37,3:13,22,34,64.7,172,0,2,14,0,77.1,29,125,4.3,1,2,24,26,0
347,CIN,2024-09-15,2024,25,26,103.7,2,5.25,4.85,31:29,78.2,22,32,Sun,2,2,@,KAN,L 25-26,25,26,-1,51,23,36,13,63.9,246,2,0,5.6,0.0,103.7,3,12,7.69,6.8,6.31,7.94,7.33,10.7,22,74,3.4,0,320,61,5.25,59,4.85,1,31:29,3:01,18,25,72.0,137,2,2,14,2,78.2,32,149,4.7,0,-75,109,34,2
348,KAN,2024-09-15,2024,26,25,80.6,-2,4.85,5.25,28:31,102.3,32,22,Sun,2,2,,CIN,W 26-25,26,25,1,51,18,25,7,72.0,137,2,2,8.0,8.0,80.6,2,14,7.41,5.5,5.07,3.48,3.22,7.6,32,149,4.7,0,286,59,4.85,61,5.25,3,28:31,3:01,23,36,63.9,246,2,3,12,0,102.3,22,74,3.4,0,75,-109,-34,-2
349,MIN,2024-09-15,2024,23,17,109.1,0,7.46,5.91,25:12,98.4,24,25,Sun,2,2,,SFO,W 23-17,23,17,6,40,17,26,9,65.4,257,2,1,7.7,3.8,109.1,4,11,13.33,9.9,8.57,9.69,8.40,15.1,24,146,6.1,0,403,54,7.46,67,5.91,2,25:12,2:58,28,36,77.8,294,1,6,25,1,98.4,25,102,4.1,1,44,-37,7,0
350,SFO,2024-09-15,2024,17,23,101.3,0,5.91,7.46,34:48,107.4,25,24,Sun,2,2,@,MIN,L 17-23,17,23,-6,40,28,36,8,77.8,294,1,1,2.8,2.8,101.3,6,25,14.29,8.2,7.00,7.47,6.40,10.5,25,102,4.1,1,396,67,5.91,54,7.46,2,34:48,2:58,17,26,65.4,257,2,4,11,1,107.4,24,146,6.1,0,-44,37,-7,0
351,NWE,2024-09-15,2024,20,23,83.7,0,4.70,5.42,35:42,101.7,36,19,Sun,2,2,,SEA,L 20-23 (OT),20,23,-3,43,15,27,12,55.6,125,1,0,3.7,0.0,83.7,3,24,10.00,4.6,4.17,5.37,4.83,8.3,36,185,5.1,1,310,66,4.70,66,5.42,0,35:42,3:12,33,44,75.0,312,1,3,15,0,101.7,19,46,2.4,1,139,-187,-48,0
352,SEA,2024-09-15,2024,23,20,103.1,0,5.42,4.70,29:41,80.0,19,36,Sun,2,2,@,NWE,W 23-20 (OT),23,20,3,43,33,44,11,75.0,312,1,0,2.3,0.0,103.1,3,15,6.38,7.1,6.64,7.55,7.06,9.5,19,46,2.4,1,358,66,5.42,66,4.70,0,29:41,3:12,15,27,55.6,125,1,3,24,0,80.0,36,185,5.1,1,-139,187,48,0
353,NYJ,2024-09-15,2024,24,17,98.7,2,4.73,5.00,30:03,81.0,24,28,Sun,2,2,@,TEN,W 24-17,24,17,7,41,18,30,12,60.0,164,2,0,6.7,0.0,98.7,2,12,6.25,5.5,5.13,6.80,6.38,9.1,24,101,4.2,1,265,56,4.73,60,5.00,0,30:03,3:02,19,28,67.9,170,1,4,22,1,81.0,28,130,4.6,1,-29,-6,-35,2
354,TEN,2024-09-15,2024,17,24,84.2,-2,5.00,4.73,29:57,97.1,28,24,Sun,2,2,,NYJ,L 17-24,17,24,-7,41,19,28,9,67.9,170,1,1,3.6,3.6,84.2,4,22,12.50,6.1,5.31,5.18,4.53,8.9,28,130,4.6,1,300,60,5.00,56,4.73,2,29:57,3:02,18,30,60.0,164,2,2,12,0,97.1,24,101,4.2,1,29,6,35,-2
355,LVR,2024-09-15,2024,26,23,94.7,0,4.33,6.08,30:43,79.5,17,27,Sun,2,2,@,BAL,W 26-23,26,23,3,49,30,38,8,78.9,233,1,1,2.6,2.6,94.7,5,43,11.63,6.1,5.42,5.47,4.84,7.8,17,27,1.6,1,260,60,4.33,63,6.08,1,30:43,3:22,21,34,61.8,232,1,2,15,1,79.5,27,151,5.6,1,-124,1,-123,0
356,BAL,2024-09-15,2024,23,26,81.4,0,6.08,4.33,29:17,90.0,27,17,Sun,2,2,,LVR,L 23-26,23,26,-3,49,21,34,13,61.8,232,1,1,2.9,2.9,81.4,2,15,5.56,6.8,6.44,6.09,5.75,11.0,27,151,5.6,1,383,63,6.08,60,4.33,1,29:17,3:22,30,38,78.9,233,1,5,43,1,90.0,17,27,1.6,1,124,-1,123,0
357,NYG,2024-09-15,2024,18,21,100.0,-1,5.96,6.16,22:28,96.8,22,35,Sun,2,2,@,WAS,L 18-21,18,21,-3,39,16,28,12,57.1,175,2,0,7.1,0.0,100.0,1,3,3.45,6.3,6.03,7.68,7.41,10.9,22,129,5.9,1,304,51,5.96,69,6.16,1,22:28,3:07,23,29,79.3,210,0,5,16,0,96.8,35,215,6.1,0,-86,-35,-121,-1
358,WAS,2024-09-15,2024,21,18,99.1,1,6.16,5.96,37:32,99.6,35,22,Sun,2,2,,NYG,W 21-18,21,18,3,39,23,29,6,79.3,210,0,0,0.0,0.0,99.1,5,16,14.71,7.2,6.18,7.24,6.18,9.1,35,215,6.1,0,425,69,6.16,51,5.96,0,37:32,3:07,16,28,57.1,175,2,1,3,0,99.6,22,129,5.9,1,86,35,121,1
359,BUF,2024-09-12,2024,31,10,107.1,3,5.49,4.68,23:41,54.6,26,34,Thu,2,2,@,MIA,W 31-10,31,10,21,41,13,19,6,68.4,139,1,0,5.3,0.0,107.1,0,0,0.00,7.3,7.32,8.37,8.37,10.7,26,108,4.2,2,247,45,5.49,75,4.68,0,23:41,2:55,25,39,64.1,212,1,2,13,3,54.6,34,139,4.1,0,-31,-73,-104,3
360,MIA,2024-09-12,2024,10,31,56.0,-3,4.68,5.49,36:19,107.1,34,26,Thu,2,2,,BUF,L 10-31,10,31,-21,41,25,39,14,64.1,212,1,3,2.6,7.7,56.0,2,13,4.88,5.4,5.17,2.49,2.37,8.5,34,139,4.1,0,351,75,4.68,45,5.49,3,36:19,2:55,13,19,68.4,139,1,0,0,0,107.1,26,108,4.2,2,31,73,104,-3
361,NYJ,2024-09-09,2024,19,32,94.5,-2,5.43,5.73,21:20,88.4,19,38,Mon,1,1,@,SFO,L 19-32,19,32,-13,51,19,29,10,65.5,198,2,1,6.9,3.4,94.5,1,5,3.33,6.8,6.60,6.66,6.43,10.4,19,68,3.6,1,266,49,5.43,70,5.73,2,21:20,2:51,19,29,65.5,221,0,3,10,0,88.4,38,180,4.7,2,-112,-23,-135,-2
362,SFO,2024-09-09,2024,32,19,89.9,2,5.73,5.43,38:40,93.8,38,19,Mon,1,1,,NYJ,W 32-19,32,19,13,51,19,29,10,65.5,221,0,0,0.0,0.0,89.9,3,10,9.38,7.6,6.91,7.62,6.91,11.6,38,180,4.7,2,401,70,5.73,49,5.43,0,38:40,2:51,19,29,65.5,198,2,1,5,1,93.8,19,68,3.6,1,112,23,135,2
363,ATL,2024-09-08,2024,10,18,59.0,-3,4.52,4.09,24:24,87.8,22,41,Sun,1,1,,PIT,L 10-18,10,18,-8,28,16,26,10,61.5,137,1,2,3.8,7.7,59.0,2,18,7.14,5.3,4.89,2.58,2.39,8.6,22,89,4.0,0,226,50,4.52,66,4.09,3,24:24,2:56,17,23,73.9,133,0,2,23,0,87.8,41,137,3.3,0,-48,4,-44,-3
364,PIT,2024-09-08,2024,18,10,91.9,3,4.09,4.52,35:36,56.1,41,22,Sun,1,1,@,ATL,W 18-10,18,10,8,28,17,23,6,73.9,133,0,0,0.0,0.0,91.9,2,23,8.00,5.8,5.32,5.78,5.32,7.8,41,137,3.3,0,270,66,4.09,50,4.52,0,35:36,2:56,16,26,61.5,137,1,2,18,2,56.1,22,89,4.0,0,48,-4,44,3
365,BUF,2024-09-08,2024,34,28,137.7,0,6.07,4.50,30:30,88.9,33,25,Sun,1,1,,ARI,W 34-28,34,28,6,62,18,23,5,78.3,222,2,0,8.7,0.0,137.7,2,10,8.00,9.7,8.88,11.39,10.48,12.3,33,130,3.9,2,352,58,6.07,60,4.50,1,30:30,2:59,21,31,67.7,146,1,4,16,0,88.9,25,124,5.0,1,6,76,82,0
366,ARI,2024-09-08,2024,28,34,91.1,0,4.50,6.07,29:30,135.9,25,33,Sun,1,1,@,BUF,L 28-34,28,34,-6,62,21,31,10,67.7,146,1,0,3.2,0.0,91.1,4,16,11.43,4.7,4.17,5.35,4.74,7.0,25,124,5.0,1,270,60,4.50,58,6.07,1,29:30,2:59,18,23,78.3,222,2,2,10,0,135.9,33,130,3.9,2,-6,-76,-82,0
367,CHI,2024-09-08,2024,24,17,55.7,2,2.79,4.00,25:06,49.5,22,26,Sun,1,1,,TEN,W 24-17,24,17,7,41,14,29,15,48.3,64,0,0,0.0,0.0,55.7,2,29,6.45,2.2,2.06,2.21,2.06,4.6,22,84,3.8,0,148,53,2.79,61,4.00,1,25:06,3:00,19,32,59.4,104,1,3,23,2,49.5,26,140,5.4,1,-56,-40,-96,2
368,TEN,2024-09-08,2024,17,24,52.5,-2,4.00,2.79,34:54,54.8,26,22,Sun,1,1,@,CHI,L 17-24,17,24,-7,41,19,32,13,59.4,104,1,2,3.1,6.3,52.5,3,23,8.57,3.3,2.97,1.06,0.97,5.5,26,140,5.4,1,244,61,4.00,53,2.79,3,34:54,3:00,14,29,48.3,64,0,2,29,0,54.8,22,84,3.8,0,56,40,96,-2
369,CIN,2024-09-08,2024,10,16,86.0,-2,4.67,4.53,25:57,75.0,16,39,Sun,1,1,,NWE,L 10-16,10,16,-6,26,21,29,8,72.4,154,0,0,0.0,0.0,86.0,3,10,9.38,5.3,4.81,5.31,4.81,7.3,16,70,4.4,1,224,48,4.67,64,4.53,2,25:57,2:49,15,24,62.5,120,0,1,1,0,75.0,39,170,4.4,1,-100,34,-66,-2
370,NWE,2024-09-08,2024,16,10,75.2,2,4.53,4.67,34:03,84.6,39,16,Sun,1,1,@,CIN,W 16-10,16,10,6,26,15,24,9,62.5,120,0,0,0.0,0.0,75.2,1,1,4.00,5.0,4.80,5.00,4.80,8.0,39,170,4.4,1,290,64,4.53,48,4.67,0,34:03,2:49,21,29,72.4,154,0,3,10,0,84.6,16,70,4.4,1,100,-34,66,2
371,CLE,2024-09-08,2024,17,33,51.1,-2,3.29,4.42,30:54,83.2,19,25,Sun,1,1,,DAL,L 17-33,17,33,-16,50,24,45,21,53.3,137,1,2,2.2,4.4,51.1,6,32,11.76,3.0,2.69,1.49,1.31,5.7,19,93,4.9,1,230,70,3.29,60,4.42,2,30:54,3:19,19,32,59.4,163,1,3,16,0,83.2,25,102,4.1,1,-9,-26,-35,-2
372,DAL,2024-09-08,2024,33,17,85.3,2,4.42,3.29,29:06,48.1,25,19,Sun,1,1,@,CLE,W 33-17,33,17,16,50,19,32,13,59.4,163,1,0,3.1,0.0,85.3,3,16,8.57,5.1,4.66,5.72,5.23,8.6,25,102,4.1,1,265,60,4.42,70,3.29,0,29:06,3:19,24,45,53.3,137,1,6,32,2,48.1,19,93,4.9,1,9,26,35,2
373,IND,2024-09-08,2024,27,29,101.2,-1,7.05,5.49,20:00,112.0,22,40,Sun,1,1,,HOU,L 27-29,27,29,-2,56,9,19,10,47.4,199,2,1,10.5,5.3,101.2,2,13,9.52,10.5,9.48,10.21,9.24,22.1,22,104,4.7,2,303,43,7.05,76,5.49,1,20:00,3:02,24,32,75.0,204,2,4,30,0,112.0,40,213,5.3,1,-109,-5,-114,-1
374,HOU,2024-09-08,2024,29,27,115.9,1,5.49,7.05,40:00,98.4,40,22,Sun,1,1,@,IND,W 29-27,29,27,2,56,24,32,8,75.0,204,2,0,6.3,0.0,115.9,4,30,11.11,6.4,5.67,7.63,6.78,8.5,40,213,5.3,1,417,76,5.49,43,7.05,0,40:00,3:02,9,19,47.4,199,2,2,13,1,98.4,22,104,4.7,2,109,5,114,1
375,DET,2024-09-08,2024,26,20,85.0,0,5.95,5.23,29:45,84.1,31,23,Sun,1,1,,LAR,W 26-20 (OT),26,20,6,46,18,28,10,64.3,200,1,1,3.6,3.6,85.0,2,17,6.67,7.1,6.67,6.25,5.83,11.1,31,163,5.3,2,363,61,5.95,74,5.23,1,29:45,3:14,34,49,69.4,304,1,2,13,1,84.1,23,83,3.6,1,80,-104,-24,0
376,LAR,2024-09-08,2024,20,26,85.2,0,5.23,5.95,34:56,82.4,23,31,Sun,1,1,@,DET,L 20-26 (OT),20,26,-6,46,34,49,15,69.4,304,1,1,2.0,2.0,85.2,2,13,3.92,6.2,5.96,5.69,5.47,8.9,23,83,3.6,1,387,74,5.23,61,5.95,1,34:56,3:14,18,28,64.3,200,1,2,17,1,82.4,31,163,5.3,2,-80,104,24,0
377,JAX,2024-09-08,2024,17,20,97.7,-1,5.34,6.15,26:50,98.8,26,25,Sun,1,1,@,MIA,L 17-20,17,20,-3,37,12,21,9,57.1,139,1,0,4.8,0.0,97.7,3,23,12.50,6.6,5.79,7.57,6.63,11.6,26,128,4.9,1,267,50,5.34,65,6.15,1,26:50,3:03,23,37,62.2,319,1,3,19,0,98.8,25,81,3.2,1,47,-180,-133,-1
378,MIA,2024-09-08,2024,20,17,101.0,1,6.15,5.34,33:10,93.2,25,26,Sun,1,1,,JAX,W 20-17,20,17,3,37,23,37,14,62.2,319,1,0,2.7,0.0,101.0,3,19,7.50,8.6,7.98,9.16,8.48,13.9,25,81,3.2,1,400,65,6.15,50,5.34,0,33:10,3:03,12,21,57.1,139,1,3,23,0,93.2,26,128,4.9,1,-47,180,133,1
379,CAR,2024-09-08,2024,10,47,31.8,-2,3.51,6.11,23:21,140.8,20,37,Sun,1,1,@,NOR,L 10-47,10,47,-37,57,13,31,18,41.9,135,0,2,0.0,6.5,31.8,4,26,11.43,4.4,3.86,1.45,1.29,10.4,20,58,2.9,1,193,55,3.51,62,6.11,3,23:21,3:10,19,24,79.2,199,3,1,1,0,140.8,37,180,4.9,2,-122,-64,-186,-2
380,NOR,2024-09-08,2024,47,10,141.0,2,6.11,3.51,36:39,28.3,37,20,Sun,1,1,,CAR,W 47-10,47,10,37,57,19,24,5,79.2,199,3,0,12.5,0.0,141.0,1,1,4.00,8.3,7.96,10.79,10.36,10.5,37,180,4.9,2,379,62,6.11,55,3.51,1,36:39,3:10,13,31,41.9,135,0,4,26,2,28.3,20,58,2.9,1,122,64,186,2
381,MIN,2024-09-08,2024,28,6,113.2,0,6.12,3.53,27:34,42.4,26,21,Sun,1,1,@,NYG,W 28-6,28,6,22,34,19,24,5,79.2,201,2,1,8.3,4.2,113.2,1,7,4.00,8.4,8.04,8.17,7.84,10.6,26,111,4.3,1,312,51,6.12,68,3.53,2,27:34,2:52,22,42,52.4,166,0,5,20,2,42.4,21,74,3.5,0,37,35,72,0
382,NYG,2024-09-08,2024,6,28,44.3,0,3.53,6.12,32:26,112.0,21,26,Sun,1,1,,MIN,L 6-28,6,28,-22,34,22,42,20,52.4,166,0,2,0.0,4.8,44.3,5,20,10.64,4.0,3.53,1.81,1.62,7.5,21,74,3.5,0,240,68,3.53,51,6.12,2,32:26,2:52,19,24,79.2,201,2,1,7,1,112.0,26,111,4.3,1,-37,-35,-72,0
383,LVR,2024-09-08,2024,10,22,95.1,-3,5.02,5.85,31:44,91.8,22,27,Sun,1,1,@,LAC,L 10-22,10,22,-12,32,25,33,8,75.8,225,1,1,3.0,3.0,95.1,4,32,10.81,6.8,6.08,6.06,5.41,9.0,22,71,3.2,0,296,59,5.02,54,5.85,3,31:44,2:50,17,26,65.4,140,1,1,4,0,91.8,27,176,6.5,1,-105,85,-20,-3
384,LAC,2024-09-08,2024,22,10,92.5,3,5.85,5.02,28:16,91.1,27,22,Sun,1,1,,LVR,W 22-10,22,10,12,32,17,26,9,65.4,140,1,0,3.8,0.0,92.5,1,4,3.70,5.4,5.19,6.15,5.93,8.2,27,176,6.5,1,316,54,5.85,59,5.02,0,28:16,2:50,25,33,75.8,225,1,4,32,1,91.1,22,71,3.2,0,105,-85,20,3
385,DEN,2024-09-08,2024,20,26,47.5,-1,3.35,5.07,31:14,85.1,25,33,Sun,1,1,@,SEA,L 20-26,20,26,-6,46,26,42,16,61.9,132,0,2,0.0,4.8,47.5,2,6,4.55,3.1,3.00,1.00,0.95,5.1,25,99,4.0,1,231,69,3.35,60,5.07,3,31:14,3:15,18,25,72.0,158,1,2,13,1,85.1,33,146,4.4,2,-47,-26,-73,-1
386,SEA,2024-09-08,2024,26,20,87.2,1,5.07,3.35,28:46,46.9,33,25,Sun,1,1,,DEN,W 26-20,26,20,6,46,18,25,7,72.0,158,1,1,4.0,4.0,87.2,2,13,7.41,6.3,5.85,5.32,4.93,8.8,33,146,4.4,2,304,60,5.07,69,3.35,2,28:46,3:15,26,42,61.9,132,0,2,6,2,46.9,25,99,4.0,1,47,26,73,1
